author,Commit,CHANGES,timestamp
"""Thanh Nguyen""","""ab8e0c6bc6bb709f96d922e38603ea0c1711e9ce""","""{'total': 33, 'additions': 1, 'deletions': 32}""","""2023-07-05T08:56:41Z"""
"""Thanh Nguyen""","""056aded2ebe4bd8962f03e3d4530c57d43e10f94""","""{'total': 10, 'additions': 6, 'deletions': 4}""","""2023-07-05T09:27:41Z"""
"""nguythan""","""063f81dae69ec02d59b6e4eb3488f8fae47c5cd2""","""{'total': 92, 'additions': 46, 'deletions': 46}""","""2023-07-05T10:00:24Z"""
"""Thanh Nguyen""","""2b0e15b3d50c6ec191f22be54ca3ae78b5818637""","""{'total': 1, 'additions': 1, 'deletions': 0}""","""2023-07-05T10:22:04Z"""
"""nguythan""","""6bdb9b004775a1dc91ce4f34163269c3cf9c64f7""","""{'total': 1, 'additions': 1, 'deletions': 0}""","""2023-07-05T10:26:08Z"""
"""Thanh Nguyen""","""c1dedfb8ff77672103030ab7909ba78c48fa13ed""","""{'total': 113, 'additions': 113, 'deletions': 0}""","""2023-07-06T09:44:08Z"""
"""Thanh Nguyen""","""c1dedfb8ff77672103030ab7909ba78c48fa13ed""","""{'total': 113, 'additions': 113, 'deletions': 0}""","""2023-07-06T09:44:08Z"""
"""Thanh Nguyen""","""c1dedfb8ff77672103030ab7909ba78c48fa13ed""","""{'total': 113, 'additions': 113, 'deletions': 0}""","""2023-07-06T09:44:08Z"""
"""Thanh Nguyen""","""c1dedfb8ff77672103030ab7909ba78c48fa13ed""","""{'total': 113, 'additions': 113, 'deletions': 0}""","""2023-07-06T09:44:08Z"""
"""Thanh Nguyen""","""82257fec92182018ad7ab3fe7be70887b29b0de8""","""{'total': 35, 'additions': 0, 'deletions': 35}""","""2023-07-06T09:59:39Z"""
"""Thanh Nguyen""","""82257fec92182018ad7ab3fe7be70887b29b0de8""","""{'total': 35, 'additions': 0, 'deletions': 35}""","""2023-07-06T09:59:39Z"""
"""Thanh Nguyen""","""82257fec92182018ad7ab3fe7be70887b29b0de8""","""{'total': 35, 'additions': 0, 'deletions': 35}""","""2023-07-06T09:59:39Z"""
"""Thanh Nguyen""","""82257fec92182018ad7ab3fe7be70887b29b0de8""","""{'total': 35, 'additions': 0, 'deletions': 35}""","""2023-07-06T09:59:39Z"""
"""nguythan""","""c97de5554fdc507b95ed7b1d587a182210b87a02""","""{'total': 146, 'additions': 112, 'deletions': 34}""","""2023-07-06T10:09:04Z"""
