IssueID,EventCount,EventSequence
188148,7,"[""merged"", ""milestoned"", ""assigned"", ""referenced"", ""auto_squash_enabled"", ""closed"", ""head_ref_deleted""]"
"""188148""",7,"[""milestoned"", ""head_ref_deleted"", ""merged"", ""referenced"", ""closed"", ""auto_squash_enabled"", ""assigned""]"
188156,7,"[""auto_squash_enabled"", ""referenced"", ""closed"", ""assigned"", ""head_ref_deleted"", ""merged"", ""milestoned""]"
"""188156""",7,"[""referenced"", ""assigned"", ""closed"", ""head_ref_deleted"", ""milestoned"", ""auto_squash_enabled"", ""merged""]"
"""188157""",7,"[""referenced"", ""merged"", ""assigned"", ""milestoned"", ""auto_squash_enabled"", ""closed"", ""head_ref_deleted""]"
188157,7,"[""head_ref_deleted"", ""referenced"", ""auto_squash_enabled"", ""milestoned"", ""closed"", ""merged"", ""assigned""]"
"""188158""",7,"[""referenced"", ""head_ref_deleted"", ""auto_squash_enabled"", ""assigned"", ""milestoned"", ""closed"", ""merged""]"
188158,7,"[""referenced"", ""merged"", ""milestoned"", ""head_ref_deleted"", ""closed"", ""assigned"", ""auto_squash_enabled""]"
"""188161""",7,"[""closed"", ""referenced"", ""milestoned"", ""auto_squash_enabled"", ""merged"", ""head_ref_deleted"", ""assigned""]"
188161,7,"[""head_ref_deleted"", ""merged"", ""referenced"", ""auto_squash_enabled"", ""assigned"", ""milestoned"", ""closed""]"
"""188166""",7,"[""referenced"", ""merged"", ""milestoned"", ""closed"", ""auto_squash_enabled"", ""assigned"", ""head_ref_deleted""]"
188166,7,"[""closed"", ""milestoned"", ""head_ref_deleted"", ""merged"", ""referenced"", ""assigned"", ""auto_squash_enabled""]"
"""188170""",7,"[""auto_merge_enabled"", ""closed"", ""assigned"", ""referenced"", ""milestoned"", ""head_ref_deleted"", ""merged""]"
188170,7,"[""closed"", ""referenced"", ""milestoned"", ""auto_merge_enabled"", ""assigned"", ""merged"", ""head_ref_deleted""]"
"""188178""",7,"[""review_dismissed"", ""milestoned"", ""merged"", ""assigned"", ""closed"", ""head_ref_deleted"", ""referenced""]"
188178,7,"[""assigned"", ""milestoned"", ""closed"", ""referenced"", ""review_dismissed"", ""head_ref_deleted"", ""merged""]"
"""188180""",7,"[""assigned"", ""milestoned"", ""referenced"", ""closed"", ""auto_squash_enabled"", ""head_ref_deleted"", ""merged""]"
188180,7,"[""head_ref_deleted"", ""closed"", ""referenced"", ""auto_squash_enabled"", ""assigned"", ""milestoned"", ""merged""]"
"""188189""",7,"[""milestoned"", ""head_ref_deleted"", ""referenced"", ""assigned"", ""closed"", ""auto_squash_enabled"", ""merged""]"
188189,7,"[""head_ref_deleted"", ""closed"", ""merged"", ""milestoned"", ""referenced"", ""assigned"", ""auto_squash_enabled""]"
"""188196""",7,"[""milestoned"", ""assigned"", ""closed"", ""merged"", ""head_ref_deleted"", ""referenced"", ""auto_squash_enabled""]"
188196,7,"[""referenced"", ""auto_squash_enabled"", ""closed"", ""assigned"", ""head_ref_deleted"", ""milestoned"", ""merged""]"
"""188198""",7,"[""closed"", ""head_ref_deleted"", ""referenced"", ""assigned"", ""merged"", ""milestoned"", ""auto_squash_enabled""]"
188198,7,"[""auto_squash_enabled"", ""assigned"", ""milestoned"", ""closed"", ""head_ref_deleted"", ""referenced"", ""merged""]"
"""188203""",7,"[""closed"", ""head_ref_deleted"", ""milestoned"", ""auto_squash_enabled"", ""assigned"", ""merged"", ""referenced""]"
188203,7,"[""assigned"", ""merged"", ""auto_squash_enabled"", ""milestoned"", ""closed"", ""referenced"", ""head_ref_deleted""]"
"""188205""",7,"[""milestoned"", ""head_ref_deleted"", ""closed"", ""assigned"", ""auto_squash_enabled"", ""referenced"", ""merged""]"
188205,7,"[""assigned"", ""closed"", ""auto_squash_enabled"", ""merged"", ""milestoned"", ""referenced"", ""head_ref_deleted""]"
"""188210""",7,"[""closed"", ""auto_merge_enabled"", ""assigned"", ""milestoned"", ""head_ref_deleted"", ""referenced"", ""merged""]"
188210,7,"[""milestoned"", ""assigned"", ""closed"", ""merged"", ""referenced"", ""auto_merge_enabled"", ""head_ref_deleted""]"
188212,7,"[""closed"", ""milestoned"", ""head_ref_deleted"", ""merged"", ""assigned"", ""review_requested"", ""referenced""]"
"""188212""",7,"[""merged"", ""closed"", ""review_requested"", ""head_ref_deleted"", ""assigned"", ""milestoned"", ""referenced""]"
"""188213""",7,"[""referenced"", ""merged"", ""auto_merge_enabled"", ""milestoned"", ""closed"", ""head_ref_deleted"", ""assigned""]"
188213,7,"[""assigned"", ""referenced"", ""head_ref_deleted"", ""auto_merge_enabled"", ""milestoned"", ""merged"", ""closed""]"
"""188216""",7,"[""closed"", ""auto_merge_enabled"", ""merged"", ""assigned"", ""milestoned"", ""head_ref_deleted"", ""referenced""]"
188216,7,"[""auto_merge_enabled"", ""head_ref_deleted"", ""assigned"", ""milestoned"", ""referenced"", ""merged"", ""closed""]"
"""188219""",7,"[""referenced"", ""milestoned"", ""head_ref_deleted"", ""auto_squash_enabled"", ""merged"", ""closed"", ""assigned""]"
188219,7,"[""closed"", ""referenced"", ""head_ref_deleted"", ""milestoned"", ""auto_squash_enabled"", ""merged"", ""assigned""]"
188230,7,"[""labeled"", ""renamed"", ""unassigned"", ""closed"", ""closed"", ""closed"", ""assigned""]"
"""188230""",7,"[""unassigned"", ""closed"", ""closed"", ""closed"", ""renamed"", ""labeled"", ""assigned""]"
188245,7,"[""head_ref_deleted"", ""referenced"", ""assigned"", ""closed"", ""milestoned"", ""auto_squash_enabled"", ""merged""]"
"""188245""",7,"[""head_ref_deleted"", ""assigned"", ""closed"", ""auto_squash_enabled"", ""milestoned"", ""referenced"", ""merged""]"
188248,7,"[""auto_squash_enabled"", ""milestoned"", ""merged"", ""referenced"", ""head_ref_deleted"", ""assigned"", ""closed""]"
"""188248""",7,"[""closed"", ""auto_squash_enabled"", ""referenced"", ""merged"", ""head_ref_deleted"", ""milestoned"", ""assigned""]"
188251,7,"[""head_ref_deleted"", ""milestoned"", ""merged"", ""auto_squash_enabled"", ""assigned"", ""referenced"", ""closed""]"
"""188251""",7,"[""merged"", ""auto_squash_enabled"", ""referenced"", ""head_ref_deleted"", ""milestoned"", ""assigned"", ""closed""]"
188269,7,"[""referenced"", ""milestoned"", ""closed"", ""merged"", ""auto_squash_enabled"", ""head_ref_deleted"", ""assigned""]"
"""188269""",7,"[""closed"", ""auto_squash_enabled"", ""merged"", ""milestoned"", ""referenced"", ""assigned"", ""head_ref_deleted""]"
