IssueID,EventCount,EventSequence
"""185681""",2,"[""labeled"", ""unlabeled""]"
188114,2,"[""assigned"", ""labeled""]"
"""188114""",2,"[""labeled"", ""assigned""]"
188119,2,"[""review_requested"", ""assigned""]"
"""188119""",2,"[""review_requested"", ""assigned""]"
188128,2,"[""assigned"", ""closed""]"
"""188128""",2,"[""closed"", ""assigned""]"
188133,2,"[""closed"", ""labeled""]"
"""188133""",2,"[""labeled"", ""closed""]"
188149,2,"[""renamed"", ""assigned""]"
"""188149""",2,"[""assigned"", ""renamed""]"
188151,2,"[""labeled"", ""assigned""]"
"""188151""",2,"[""labeled"", ""assigned""]"
188152,2,"[""labeled"", ""assigned""]"
"""188152""",2,"[""assigned"", ""labeled""]"
188155,2,"[""assigned"", ""labeled""]"
"""188155""",2,"[""assigned"", ""labeled""]"
188167,2,"[""unassigned"", ""assigned""]"
"""188167""",2,"[""assigned"", ""unassigned""]"
"""188168""",2,"[""closed"", ""renamed""]"
188168,2,"[""renamed"", ""closed""]"
188175,2,"[""labeled"", ""assigned""]"
"""188175""",2,"[""labeled"", ""assigned""]"
188184,2,"[""milestoned"", ""assigned""]"
"""188184""",2,"[""milestoned"", ""assigned""]"
188201,2,"[""labeled"", ""assigned""]"
"""188201""",2,"[""assigned"", ""labeled""]"
188214,2,"[""labeled"", ""assigned""]"
"""188214""",2,"[""labeled"", ""assigned""]"
"""188217""",2,"[""closed"", ""labeled""]"
188217,2,"[""closed"", ""labeled""]"
"""188229""",2,"[""closed"", ""referenced""]"
188229,2,"[""referenced"", ""closed""]"
188235,2,"[""assigned"", ""labeled""]"
"""188235""",2,"[""labeled"", ""assigned""]"
188237,2,"[""assigned"", ""referenced""]"
"""188237""",2,"[""assigned"", ""referenced""]"
188240,2,"[""assigned"", ""labeled""]"
"""188240""",2,"[""labeled"", ""assigned""]"
188243,2,"[""assigned"", ""labeled""]"
"""188243""",2,"[""assigned"", ""labeled""]"
188247,2,"[""labeled"", ""assigned""]"
"""188247""",2,"[""labeled"", ""assigned""]"
188252,2,"[""assigned"", ""closed""]"
"""188252""",2,"[""assigned"", ""closed""]"
188254,2,"[""assigned"", ""labeled""]"
"""188254""",2,"[""assigned"", ""labeled""]"
188261,2,"[""assigned"", ""labeled""]"
"""188261""",2,"[""labeled"", ""assigned""]"
188280,2,"[""assigned"", ""closed""]"
"""188280""",2,"[""assigned"", ""closed""]"
188289,2,"[""closed"", ""labeled""]"
"""188289""",2,"[""labeled"", ""closed""]"
188302,2,"[""marked_as_duplicate"", ""closed""]"
"""188302""",2,"[""marked_as_duplicate"", ""closed""]"
188303,2,"[""labeled"", ""closed""]"
"""188303""",2,"[""labeled"", ""closed""]"
188316,2,"[""labeled"", ""assigned""]"
"""188316""",2,"[""assigned"", ""labeled""]"
136905,1,"[""review_requested""]"
"""136905""",1,"[""review_requested""]"
136905,1,"[""head_ref_force_pushed""]"
"""136905""",1,"[""head_ref_force_pushed""]"
152112,1,"[""review_dismissed""]"
"""152112""",1,"[""review_dismissed""]"
152112,1,"[""auto_squash_enabled""]"
"""152112""",1,"[""auto_squash_enabled""]"
152231,1,"[""milestoned""]"
"""152231""",1,"[""milestoned""]"
152231,1,"[""assigned""]"
"""152231""",1,"[""assigned""]"
152231,1,"[""auto_squash_enabled""]"
"""152231""",1,"[""auto_squash_enabled""]"
152231,1,"[""renamed""]"
"""152231""",1,"[""renamed""]"
152112,1,"[""referenced""]"
"""152112""",1,"[""referenced""]"
152231,1,"[""referenced""]"
"""152231""",1,"[""referenced""]"
152381,1,"[""renamed""]"
"""152381""",1,"[""renamed""]"
152381,1,"[""assigned""]"
"""152381""",1,"[""assigned""]"
152381,1,"[""milestoned""]"
"""152381""",1,"[""milestoned""]"
152381,1,"[""referenced""]"
"""152381""",1,"[""referenced""]"
136905,1,"[""subscribed""]"
"""136905""",1,"[""subscribed""]"
155034,1,"[""assigned""]"
"""155034""",1,"[""assigned""]"
155034,1,"[""labeled""]"
"""155034""",1,"[""labeled""]"
155034,1,"[""closed""]"
"""155034""",1,"[""closed""]"
136905,1,"[""mentioned""]"
"""136905""",1,"[""mentioned""]"
155034,1,"[""head_ref_deleted""]"
"""155034""",1,"[""head_ref_deleted""]"
152112,1,"[""locked""]"
152231,1,"[""locked""]"
"""152112""",1,"[""locked""]"
"""152231""",1,"[""locked""]"
155883,1,"[""unassigned""]"
"""155883""",1,"[""unassigned""]"
155883,1,"[""assigned""]"
"""155883""",1,"[""assigned""]"
155883,1,"[""milestoned""]"
"""155883""",1,"[""milestoned""]"
155883,1,"[""closed""]"
"""155883""",1,"[""closed""]"
155883,1,"[""referenced""]"
"""155883""",1,"[""referenced""]"
169844,1,"[""assigned""]"
"""169844""",1,"[""assigned""]"
169844,1,"[""milestoned""]"
"""169844""",1,"[""milestoned""]"
169844,1,"[""labeled""]"
"""169844""",1,"[""labeled""]"
169844,1,"[""review_requested""]"
"""169844""",1,"[""review_requested""]"
169844,1,"[""head_ref_force_pushed""]"
"""169844""",1,"[""head_ref_force_pushed""]"
169844,1,"[""ready_for_review""]"
"""169844""",1,"[""ready_for_review""]"
155883,1,"[""locked""]"
"""155883""",1,"[""locked""]"
169844,1,"[""auto_squash_enabled""]"
"""169844""",1,"[""auto_squash_enabled""]"
169844,1,"[""head_ref_deleted""]"
"""169844""",1,"[""head_ref_deleted""]"
171641,1,"[""renamed""]"
"""171641""",1,"[""renamed""]"
171641,1,"[""closed""]"
"""171641""",1,"[""closed""]"
171641,1,"[""locked""]"
"""171641""",1,"[""locked""]"
169844,1,"[""locked""]"
"""169844""",1,"[""locked""]"
181447,1,"[""milestoned""]"
"""181447""",1,"[""milestoned""]"
181447,1,"[""closed""]"
"""181447""",1,"[""closed""]"
181447,1,"[""head_ref_deleted""]"
"""181447""",1,"[""head_ref_deleted""]"
181489,1,"[""assigned""]"
"""181489""",1,"[""assigned""]"
181489,1,"[""unassigned""]"
"""181489""",1,"[""unassigned""]"
181489,1,"[""milestoned""]"
"""181489""",1,"[""milestoned""]"
181489,1,"[""closed""]"
"""181489""",1,"[""closed""]"
181489,1,"[""referenced""]"
"""181489""",1,"[""referenced""]"
181489,1,"[""unlabeled""]"
"""181489""",1,"[""unlabeled""]"
181489,1,"[""labeled""]"
"""181489""",1,"[""labeled""]"
184000,1,"[""head_ref_deleted""]"
"""184000""",1,"[""head_ref_deleted""]"
181447,1,"[""locked""]"
"""181447""",1,"[""locked""]"
181489,1,"[""locked""]"
"""181489""",1,"[""locked""]"
185681,1,"[""assigned""]"
"""185681""",1,"[""assigned""]"
185681,1,"[""unassigned""]"
"""185681""",1,"[""unassigned""]"
185681,1,"[""milestoned""]"
"""185681""",1,"[""milestoned""]"
185681,1,"[""closed""]"
"""185681""",1,"[""closed""]"
185681,1,"[""referenced""]"
"""185681""",1,"[""referenced""]"
184000,1,"[""locked""]"
"""184000""",1,"[""locked""]"
188116,1,"[""assigned""]"
"""188116""",1,"[""assigned""]"
188120,1,"[""assigned""]"
"""188120""",1,"[""assigned""]"
188121,1,"[""assigned""]"
"""188121""",1,"[""assigned""]"
188122,1,"[""assigned""]"
"""188122""",1,"[""assigned""]"
188129,1,"[""assigned""]"
"""188129""",1,"[""assigned""]"
188142,1,"[""assigned""]"
"""188142""",1,"[""assigned""]"
188146,1,"[""closed""]"
"""188146""",1,"[""closed""]"
188154,1,"[""assigned""]"
"""188154""",1,"[""assigned""]"
188160,1,"[""assigned""]"
"""188160""",1,"[""assigned""]"
188164,1,"[""assigned""]"
"""188164""",1,"[""assigned""]"
188171,1,"[""assigned""]"
"""188171""",1,"[""assigned""]"
188174,1,"[""assigned""]"
"""188174""",1,"[""assigned""]"
188177,1,"[""assigned""]"
"""188177""",1,"[""assigned""]"
188193,1,"[""assigned""]"
"""188193""",1,"[""assigned""]"
188194,1,"[""assigned""]"
"""188194""",1,"[""assigned""]"
188200,1,"[""assigned""]"
"""188200""",1,"[""assigned""]"
188223,1,"[""labeled""]"
"""188223""",1,"[""labeled""]"
188224,1,"[""assigned""]"
"""188224""",1,"[""assigned""]"
188225,1,"[""labeled""]"
"""188225""",1,"[""labeled""]"
188226,1,"[""assigned""]"
"""188226""",1,"[""assigned""]"
188233,1,"[""assigned""]"
"""188233""",1,"[""assigned""]"
188234,1,"[""closed""]"
"""188234""",1,"[""closed""]"
188236,1,"[""assigned""]"
"""188236""",1,"[""assigned""]"
188244,1,"[""assigned""]"
"""188244""",1,"[""assigned""]"
188246,1,"[""assigned""]"
"""188246""",1,"[""assigned""]"
188256,1,"[""assigned""]"
"""188256""",1,"[""assigned""]"
188257,1,"[""assigned""]"
"""188257""",1,"[""assigned""]"
188258,1,"[""assigned""]"
"""188258""",1,"[""assigned""]"
188264,1,"[""assigned""]"
"""188264""",1,"[""assigned""]"
188265,1,"[""assigned""]"
"""188265""",1,"[""assigned""]"
188266,1,"[""closed""]"
"""188266""",1,"[""closed""]"
188267,1,"[""assigned""]"
"""188267""",1,"[""assigned""]"
188273,1,"[""assigned""]"
"""188273""",1,"[""assigned""]"
188277,1,"[""assigned""]"
"""188277""",1,"[""assigned""]"
188295,1,"[""assigned""]"
"""188295""",1,"[""assigned""]"
188297,1,"[""assigned""]"
"""188297""",1,"[""assigned""]"
188298,1,"[""assigned""]"
"""188298""",1,"[""assigned""]"
188299,1,"[""closed""]"
"""188299""",1,"[""closed""]"
188300,1,"[""assigned""]"
"""188300""",1,"[""assigned""]"
188301,1,"[""assigned""]"
"""188301""",1,"[""assigned""]"
188304,1,"[""assigned""]"
"""188304""",1,"[""assigned""]"
188307,1,"[""assigned""]"
"""188307""",1,"[""assigned""]"
188310,1,"[""assigned""]"
"""188310""",1,"[""assigned""]"
188311,1,"[""assigned""]"
"""188311""",1,"[""assigned""]"
188313,1,"[""assigned""]"
"""188313""",1,"[""assigned""]"
188314,1,"[""assigned""]"
"""188314""",1,"[""assigned""]"
188315,1,"[""assigned""]"
"""188315""",1,"[""assigned""]"
