User1,User2,SharedIssues,Issues
"""chrmarti""","""VSCodeTriageBot""",8,"[""188175"", 188175, ""188130"", ""188130"", ""188130"", ""188130"", ""188130"", ""188130"", ""188130"", ""188130"", 188130, 188130, 188130, 188130, 188130, 188130, 188130, 188130, ""188152"", 188152, ""188172"", 188172]"
"""VSCodeTriageBot""","""rzhao271""",8,"[""188134"", 188134, ""188286"", 188286, ""188134"", 188134, ""188134"", 188134, ""188190"", ""188190"", 188190, 188190, ""188190"", ""188190"", 188190, 188190, ""188176"", ""188176"", 188176, 188176, ""188176"", ""188176"", 188176, 188176]"
"""sandy081""","""isidorn""",8,"[""188140"", ""188140"", ""188140"", ""188140"", 188140, 188140, 188140, 188140, ""188139"", ""188139"", ""188139"", 188139, 188139, 188139, ""188138"", ""188138"", ""188138"", ""188138"", ""188138"", ""188138"", 188138, 188138, 188138, 188138, 188138, 188138, ""188138"", ""188138"", ""188138"", ""188138"", ""188138"", ""188138"", 188138, 188138, 188138, 188138, 188138, 188138, ""188141"", ""188141"", 188141, 188141, ""188138"", ""188138"", ""188138"", ""188138"", ""188138"", ""188138"", 188138, 188138, 188138, 188138, 188138, 188138]"
"""meganrogge""","""Tyriar""",8,"[""152381"", ""152381"", 152381, 152381, ""152381"", ""152381"", ""152381"", 152381, 152381, 152381, ""152381"", ""152381"", ""152381"", 152381, 152381, 152381, ""152381"", ""152381"", 152381, 152381, ""188145"", ""188145"", 188145, 188145, ""188312"", 188312, ""188235"", 188235, ""188312"", 188312, ""152381"", ""152381"", 152381, 152381]"
"""github-actions[bot]""","""mjbvz""",6,"[""152231"", 152231, ""181489"", 181489, ""152112"", 152112, ""152231"", 152231, ""152231"", 152231, ""152231"", 152231, ""152112"", 152112, ""152112"", 152112, ""152231"", 152231, ""152112"", 152112, ""152231"", 152231, ""181489"", 181489, ""152112"", 152112, ""152231"", 152231, ""181489"", 181489, ""181489"", 181489, ""152112"", 152112, ""152112"", 152112, ""181489"", 181489]"
"""daviddossett""","""mjbvz""",6,"[""188282"", 188282, ""188117"", ""188117"", 188117, 188117, ""188143"", 188143, ""188143"", 188143, ""188143"", ""188143"", 188143, 188143, ""188143"", ""188143"", 188143, 188143, ""188117"", ""188117"", 188117, 188117, ""188117"", ""188117"", 188117, 188117, ""188117"", ""188117"", 188117, 188117, ""188117"", ""188117"", 188117, 188117, ""188117"", ""188117"", 188117, 188117, ""188282"", 188282, ""188143"", ""188143"", 188143, 188143]"
"""TylerLeonhardt""","""VSCodeTriageBot""",6,"[""188169"", 188169, ""188126"", ""188126"", ""188126"", ""188126"", ""188126"", ""188126"", ""188126"", 188126, 188126, 188126, 188126, 188126, 188126, 188126, ""181447"", ""181447"", ""181447"", ""181447"", ""181447"", ""181447"", 181447, 181447, 181447, 181447, 181447, 181447, ""188169"", 188169]"
"""github-actions[bot]""","""VSCodeTriageBot""",6,"[""155883"", 155883, ""181489"", 181489, ""181447"", 181447, ""181489"", 181489, ""155883"", 155883]"
"""joyceerhl""","""VSCodeTriageBot""",6,"[""188242"", 188242, ""188215"", ""188215"", ""188215"", ""188215"", ""188215"", ""188215"", ""188215"", 188215, 188215, 188215, 188215, 188215, 188215, 188215, ""188242"", 188242, ""188166"", ""188166"", ""188166"", ""188166"", ""188166"", ""188166"", 188166, 188166, 188166, 188166, 188166, 188166]"
"""meganrogge""","""hediet""",6,"[""188285"", 188285, ""188212"", ""188212"", ""188212"", 188212, 188212, 188212, ""188285"", 188285, ""188212"", ""188212"", ""188212"", 188212, 188212, 188212, ""188212"", ""188212"", ""188212"", 188212, 188212, 188212, ""188260"", 188260, ""188285"", 188285, ""188212"", ""188212"", ""188212"", 188212, 188212, 188212]"
"""VSCodeTriageBot""","""isidorn""",6,"[""188140"", 188140, ""188278"", ""188278"", 188278, 188278, ""188138"", ""188138"", 188138, 188138, ""188138"", 188138, ""188138"", ""188138"", 188138, 188138, ""188278"", ""188278"", 188278, 188278]"
"""meganrogge""","""isidorn""",6,"[""188228"", ""188228"", 188228, 188228, ""188127"", ""188127"", 188127, 188127, ""188278"", ""188278"", ""188278"", ""188278"", ""188278"", 188278, 188278, 188278, 188278, 188278, ""188127"", ""188127"", 188127, 188127, ""188228"", ""188228"", 188228, 188228, ""188278"", ""188278"", ""188278"", ""188278"", ""188278"", 188278, 188278, 188278, 188278, 188278, ""188127"", ""188127"", 188127, 188127, ""188127"", ""188127"", 188127, 188127]"
"""VSCodeTriageBot""","""Tyriar""",6,"[""188137"", ""188137"", 188137, 188137, ""188247"", 188247, ""188275"", 188275, ""188137"", ""188137"", 188137, 188137, ""188275"", 188275]"
"""VSCodeTriageBot""","""raven190301""",6,"[""188230"", ""188230"", ""188230"", 188230, 188230, 188230, ""188232"", ""188232"", ""188230"", ""188230"", ""188231"", ""188231"", 188231, 188231, 188232, 188232, 188230, 188230, ""188230"", ""188230"", ""188231"", ""188231"", ""188232"", ""188232"", 188232, 188232, 188231, 188231, 188230, 188230, ""188230"", ""188230"", ""188231"", ""188231"", ""188232"", ""188232"", 188231, 188231, 188230, 188230, 188232, 188232]"
"""mjbvz""","""jrieken""",6,"[""188162"", ""188162"", 188162, 188162, ""188162"", ""188162"", 188162, 188162, ""188230"", ""188230"", 188230, 188230, ""188162"", ""188162"", 188162, 188162, ""188162"", 188162, ""188151"", 188151, ""188230"", 188230]"
"""TylerLeonhardt""","""github-actions[bot]""",4,"[""184000"", ""184000"", ""184000"", ""184000"", ""184000"", ""184000"", 184000, 184000, 184000, 184000, 184000, 184000, ""181447"", ""181447"", ""181447"", ""181447"", ""181447"", ""181447"", 181447, 181447, 181447, 181447, 181447, 181447]"
"""github-actions[bot]""","""justschen""",4,"[""152231"", 152231, ""152112"", 152112]"
"""justschen""","""mjbvz""",4,"[""152231"", 152231, ""152112"", 152112, ""152231"", 152231, ""152231"", 152231, ""152231"", 152231, ""152112"", 152112, ""152112"", 152112, ""152112"", 152112, ""152231"", 152231, ""152112"", 152112, ""152231"", 152231, ""152112"", 152112]"
"""bpasero""","""VSCodeTriageBot""",4,"[""188221"", 188221, ""181489"", 181489]"
"""amunger""","""VSCodeTriageBot""",4,"[""188213"", ""188213"", ""188213"", ""188213"", ""188213"", ""188213"", 188213, 188213, 188213, 188213, 188213, 188213, ""188216"", ""188216"", ""188216"", ""188216"", ""188216"", ""188216"", 188216, 188216, 188216, 188216, 188216, 188216]"
"""mjbvz""","""hediet""",4,"[""185681"", ""185681"", ""185681"", ""185681"", ""185681"", ""185681"", 185681, 185681, 185681, 185681, 185681, 185681, ""185681"", ""185681"", ""185681"", ""185681"", ""185681"", ""185681"", ""185681"", 185681, 185681, 185681, 185681, 185681, 185681, 185681, ""181489"", ""181489"", ""181489"", ""181489"", 181489, 181489, 181489, 181489, ""181489"", ""181489"", ""181489"", ""181489"", ""181489"", 181489, 181489, 181489, 181489, 181489]"
"""hediet""","""sandy081""",4,"[""181489"", ""181489"", 181489, 181489, ""188137"", ""188137"", 188137, 188137, ""188137"", ""188137"", 188137, 188137, ""188137"", ""188137"", 188137, 188137, ""188137"", 188137, ""181489"", ""181489"", 181489, 181489]"
"""mjbvz""","""rzhao271""",4,"[""188197"", ""188197"", 188197, 188197, ""188197"", ""188197"", 188197, 188197, ""188286"", 188286, ""188197"", 188197, ""188197"", ""188197"", 188197, 188197]"
"""alexr00""","""connor4312""",4,"[""188153"", ""188153"", ""188153"", 188153, 188153, 188153, ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", 155883, 155883, 155883, 155883, 155883, 155883, 155883, ""188153"", ""188153"", ""188153"", 188153, 188153, 188153]"
