User1,User2,SharedIssues,Issues
"""alexdima""","""mjbvz""",2,"[""185681"", ""185681"", 185681, 185681, ""185681"", ""185681"", 185681, 185681, ""185681"", ""185681"", 185681, 185681, ""185681"", ""185681"", 185681, 185681, ""185681"", ""185681"", 185681, 185681, ""185681"", 185681, ""185681"", ""185681"", 185681, 185681]"
"""alexr00""","""mjbvz""",2,"[""188143"", 188143, ""188143"", 188143, ""188143"", ""188143"", 188143, 188143, ""188143"", ""188143"", 188143, 188143, ""188143"", ""188143"", 188143, 188143]"
"""hbons""","""mjbvz""",2,"[""188143"", 188143, ""188143"", 188143, ""188143"", 188143, ""188143"", 188143]"
"""arvigeus""","""mjbvz""",2,"[""188125"", 188125, ""188125"", 188125, ""188125"", 188125]"
"""MeghanKulkarni""","""mjbvz""",2,"[""188125"", 188125, ""188125"", 188125]"
"""chrisdias""","""mjbvz""",2,"[""188206"", 188206]"
"""mjbvz""","""danielwerg""",2,"[""188306"", 188306, ""188306"", 188306]"
"""dbaeumer""","""VSCodeTriageBot""",2,"[""188214"", 188214]"
"""weinand""","""VSCodeTriageBot""",2,"[""155883"", ""155883"", 155883, 155883, ""155883"", ""155883"", ""155883"", 155883, 155883, 155883]"
"""Danielmelody""","""VSCodeTriageBot""",2,"[""155883"", 155883, ""155883"", 155883]"
"""miku1958""","""VSCodeTriageBot""",2,"[""188137"", ""188137"", 188137, 188137, ""188137"", ""188137"", 188137, 188137]"
"""sbatten""","""VSCodeTriageBot""",2,"[""188221"", 188221]"
"""dtroberts""","""VSCodeTriageBot""",2,"[""188185"", 188185]"
"""lramos15""","""VSCodeTriageBot""",2,"[""188203"", ""188203"", ""188203"", ""188203"", ""188203"", ""188203"", 188203, 188203, 188203, 188203, 188203, 188203]"
"""alexdima""","""VSCodeTriageBot""",2,"[""185681"", ""185681"", 185681, 185681, ""185681"", ""185681"", 185681, 185681]"
"""IanMatthewHuff""","""VSCodeTriageBot""",2,"[""188138"", ""188138"", 188138, 188138, ""188138"", ""188138"", 188138, 188138]"
"""ahanusa""","""VSCodeTriageBot""",2,"[""188263"", 188263]"
"""aiday-mar""","""VSCodeTriageBot""",2,"[""188263"", ""188263"", ""188263"", ""188263"", 188263, 188263, 188263, 188263]"
"""bhavyaus""","""VSCodeTriageBot""",2,"[""155883"", 155883]"
"""andreamah""","""VSCodeTriageBot""",2,"[""188118"", 188118]"
"""jtmaveryk""","""VSCodeTriageBot""",2,"[""188172"", 188172]"
"""ulugbekna""","""VSCodeTriageBot""",2,"[""188201"", 188201]"
"""chrisdias""","""VSCodeTriageBot""",2,"[""188206"", 188206]"
"""aeschli""","""VSCodeTriageBot""",2,"[""188134"", 188134]"
"""meganrogge""","""rperez030""",2,"[""188294"", ""188294"", ""188294"", ""188294"", ""188294"", ""188294"", ""188294"", ""188294"", 188294, 188294, 188294, 188294, 188294, 188294, 188294, 188294, ""188294"", ""188294"", ""188294"", ""188294"", ""188294"", ""188294"", ""188294"", ""188294"", 188294, 188294, 188294, 188294, 188294, 188294, 188294, 188294]"
"""alexdima""","""hediet""",2,"[""185681"", 185681, ""185681"", 185681]"
"""miku1958""","""hediet""",2,"[""188137"", ""188137"", 188137, 188137, ""188137"", ""188137"", 188137, 188137]"
"""bpasero""","""hediet""",2,"[""181489"", 181489, ""181489"", 181489]"
"""github-actions[bot]""","""hediet""",2,"[""181489"", 181489, ""181489"", 181489]"
"""github-actions[bot]""","""sandy081""",2,"[""181489"", 181489, ""181489"", 181489]"
"""mjbvz""","""sandy081""",2,"[""181489"", ""181489"", ""181489"", ""181489"", 181489, 181489, 181489, 181489, ""181489"", ""181489"", ""181489"", ""181489"", ""181489"", 181489, 181489, 181489, 181489, 181489]"
"""IanMatthewHuff""","""sandy081""",2,"[""188138"", ""188138"", 188138, 188138, ""188138"", ""188138"", 188138, 188138, ""188138"", 188138, ""188138"", ""188138"", 188138, 188138, ""188138"", 188138, ""188138"", ""188138"", 188138, 188138, ""188138"", ""188138"", 188138, 188138]"
"""miku1958""","""sandy081""",2,"[""188137"", ""188137"", 188137, 188137, ""188137"", ""188137"", 188137, 188137, ""188137"", ""188137"", 188137, 188137, ""188137"", ""188137"", 188137, 188137]"
"""andreamah""","""sandy081""",2,"[""188308"", ""188308"", 188308, 188308]"
"""bpasero""","""sandy081""",2,"[""181489"", 181489]"
"""HeinrichAD""","""rzhao271""",2,"[""188197"", 188197, ""188197"", ""188197"", 188197, 188197, ""188197"", ""188197"", 188197, 188197, ""188197"", 188197]"
"""alexr00""","""rzhao271""",2,"[""188134"", 188134, ""188134"", ""188134"", 188134, 188134, ""188134"", 188134]"
"""aeschli""","""rzhao271""",2,"[""188134"", 188134, ""188134"", 188134]"
"""rebornix""","""rzhao271""",2,"[""188190"", 188190]"
"""IllusionMH""","""connor4312""",2,"[""188153"", 188153, ""188153"", 188153]"
"""meganrogge""","""connor4312""",2,"[""188153"", ""188153"", ""188153"", ""188153"", 188153, 188153, 188153, 188153, ""188153"", ""188153"", ""188153"", ""188153"", 188153, 188153, 188153, 188153]"
"""bhavyaus""","""connor4312""",2,"[""155883"", 155883]"
"""github-actions[bot]""","""connor4312""",2,"[""155883"", 155883]"
"""weinand""","""connor4312""",2,"[""155883"", ""155883"", 155883, 155883]"
"""Danielmelody""","""connor4312""",2,"[""155883"", 155883]"
"""bhavyaus""","""roblourens""",2,"[""155883"", 155883, ""155883"", 155883]"
"""weinand""","""roblourens""",2,"[""155883"", ""155883"", ""155883"", 155883, 155883, 155883, ""155883"", ""155883"", 155883, 155883, ""155883"", ""155883"", 155883, 155883]"
"""Danielmelody""","""roblourens""",2,"[""155883"", 155883, ""155883"", 155883, ""155883"", 155883]"
"""IllusionMH""","""roblourens""",2,"[""188153"", 188153, ""188153"", 188153]"
"""meganrogge""","""roblourens""",2,"[""188153"", ""188153"", ""188153"", ""188153"", 188153, 188153, 188153, 188153, ""188153"", ""188153"", ""188153"", ""188153"", 188153, 188153, 188153, 188153]"
"""justschen""","""roblourens""",2,"[""152112"", 152112, ""152112"", 152112]"
"""ooker777""","""roblourens""",2,"[""188237"", 188237]"
"""scnwwu""","""isidorn""",2,"[""188228"", 188228, ""188228"", 188228]"
"""daviddossett""","""isidorn""",2,"[""188127"", ""188127"", ""188127"", 188127, 188127, 188127, ""188127"", ""188127"", ""188127"", ""188127"", 188127, 188127, 188127, 188127, ""188127"", ""188127"", ""188127"", 188127, 188127, 188127, ""188127"", ""188127"", ""188127"", ""188127"", 188127, 188127, 188127, 188127]"
"""Roopesh-T""","""isidorn""",2,"[""188127"", 188127, ""188127"", ""188127"", 188127, 188127, ""188127"", 188127, ""188127"", ""188127"", 188127, 188127]"
"""IanMatthewHuff""","""isidorn""",2,"[""188138"", 188138, ""188138"", ""188138"", 188138, 188138, ""188138"", 188138]"
"""andreamah""","""joaomoreno""",2,"[""171641"", ""171641"", 171641, 171641]"
"""lszomoru""","""joaomoreno""",2,"[""171641"", 171641]"
"""github-actions[bot]""","""joaomoreno""",2,"[""171641"", 171641]"
"""sandy081""","""joaomoreno""",2,"[""188275"", ""188275"", ""188275"", ""188275"", 188275, 188275, 188275, 188275]"
"""miku1958""","""Tyriar""",2,"[""188137"", ""188137"", 188137, 188137, ""188137"", ""188137"", 188137, 188137]"
"""hediet""","""Tyriar""",2,"[""188137"", 188137, ""188137"", 188137]"
"""sbatten""","""Tyriar""",2,"[""152381"", ""152381"", ""152381"", 152381, 152381, 152381, ""152381"", ""152381"", ""152381"", 152381, 152381, 152381, ""152381"", ""152381"", ""152381"", 152381, 152381, 152381, ""152381"", ""152381"", ""152381"", 152381, 152381, 152381, ""152381"", ""152381"", 152381, 152381]"
"""floydnant""","""Tyriar""",2,"[""152381"", ""152381"", ""152381"", 152381, 152381, 152381, ""152381"", ""152381"", ""152381"", 152381, 152381, 152381, ""152381"", ""152381"", ""152381"", 152381, 152381, 152381, ""152381"", ""152381"", ""152381"", 152381, 152381, 152381, ""152381"", ""152381"", ""152381"", 152381, 152381, 152381]"
"""vlrevolution""","""Tyriar""",2,"[""152381"", ""152381"", 152381, 152381, ""152381"", ""152381"", 152381, 152381, ""152381"", ""152381"", 152381, 152381, ""152381"", ""152381"", 152381, 152381, ""152381"", ""152381"", 152381, 152381]"
"""joaomoreno""","""Tyriar""",2,"[""188275"", 188275, ""188275"", 188275]"
"""chemwolf6922""","""deepak1556""",2,"[""188128"", 188128]"
"""meganrogge""","""deepak1556""",2,"[""188260"", 188260, ""188260"", 188260]"
"""hediet""","""deepak1556""",2,"[""188260"", ""188260"", 188260, 188260, ""188260"", ""188260"", 188260, 188260, ""188260"", 188260]"
"""eamodio""","""deepak1556""",2,"[""188268"", 188268, ""188268"", 188268, ""188268"", 188268]"
"""joaomoreno""","""deepak1556""",2,"[""188253"", 188253, ""188253"", 188253, ""188253"", 188253]"
"""chrisdias""","""deepak1556""",2,"[""188206"", 188206, ""188206"", 188206]"
"""mjbvz""","""deepak1556""",2,"[""188206"", 188206, ""188206"", 188206, ""188206"", 188206]"
"""bpasero""","""deepak1556""",2,"[""188221"", 188221, ""188221"", 188221]"
"""sbatten""","""deepak1556""",2,"[""188221"", 188221, ""188221"", 188221]"
"""VSCodeTriageBot""","""DonJayamanne""",2,"[""188249"", ""188249"", 188249, 188249]"
"""mjbvz""","""raven190301""",2,"[""188230"", ""188230"", 188230, 188230, ""188230"", ""188230"", 188230, 188230, ""188230"", ""188230"", 188230, 188230, ""188230"", ""188230"", 188230, 188230]"
"""digitarald""","""jrieken""",2,"[""188239"", 188239]"
"""LeGi0N09""","""jrieken""",2,"[""188239"", 188239, ""188239"", 188239]"
"""hediet""","""jrieken""",2,"[""188208"", ""188208"", ""188208"", 188208, 188208, 188208]"
"""raven190301""","""jrieken""",2,"[""188230"", ""188230"", ""188230"", ""188230"", 188230, 188230, 188230, 188230, ""188230"", ""188230"", ""188230"", ""188230"", 188230, 188230, 188230, 188230]"
