author,filename,timestamp
"""ivan-mischenko""","""lms/locale/fr/LC_MESSAGES/djangojs.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/zh/LC_MESSAGES/django.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/ja/LC_MESSAGES/django.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/es/LC_MESSAGES/djangojs.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/ar-ae/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/id/LC_MESSAGES/djangojs.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/fi/LC_MESSAGES/django.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/ja/LC_MESSAGES/djangojs.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/ko/LC_MESSAGES/django.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/bs/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/et/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/pt/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/nl/LC_MESSAGES/django.po""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/sl/LC_MESSAGES/django.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/tr/LC_MESSAGES/djangojs.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/vi/LC_MESSAGES/django.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/ko/LC_MESSAGES/djangojs.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/bg/LC_MESSAGES/djangojs.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""apis/views.py""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""company/admin.py""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/lt/LC_MESSAGES/djangojs.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""company/migrations/0024_merge_0020_auto_20230406_0802_0023_auto_20230606_1103.py""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/ar-ae/LC_MESSAGES/django.mo""","""2023-07-04T08:13:54Z"""
"""ivan-mischenko""","""lms/locale/pl/LC_MESSAGES/djangojs.mo""","""2023-07-04T08:13:54Z"""
